date,venue_name,set1,set2,set3,encore
06/07/2023,"Hollywood Casino Amphitheatre, Maryland Heights, MO, USA","['Good Times', 'Big River', 'Friend of the Devil', 'They Love Each Other', 'Black-Throated Wind', 'Big Railroad Blues', 'Dark Star', 'Johnny B. Goode']","['Eyes of the World', 'Fire on the Mountain', 'Shakedown Street', 'Drums', 'Space', 'The Eleven', ""Death Don't Have No Mercy"", 'Going Down the Road Feeling Bad']",[],"[""Knockin' on Heaven's Door""]"
06/05/2023,"The Pavilion at Star Lake, Burgettstown, PA, USA","['Hell in a Bucket', 'Alabama Getaway', 'Jack Straw', 'Big Boss Man', 'Peggy-O', 'Bertha', 'Cassidy', ""Don't Ease Me In""]","['Viola Lee Blues', ""Truckin'"", 'China Doll', 'China Cat Sunflower', 'I Know You Rider', 'Drums', 'Space', 'Althea', 'Standing on the Moon', 'Not Fade Away']",[],['The Weight']
06/03/2023,"Jiffy Lube Live, Bristow, VA, USA","['Here Comes Sunshine', 'Mississippi Half-Step Uptown Toodeloo', 'Mr. Charlie', ""He's Gone"", 'Brown-Eyed Women', 'Dear Prudence', 'Turn On Your Love Light']","['Deal', 'Scarlet Begonias', 'Playing in the Band', 'Cumberland Blues', ""Uncle John's Band"", 'Drums', 'Space', 'Milestones', 'Days Between', 'Throwing Stones', 'One More Saturday Night']",[],['Ripple']
06/01/2023,"Coastal Credit Union Music Park at Walnut Creek, Raleigh, NC, USA","['New Speedway Boogie', 'They Love Each Other', 'Mama Tried', 'Easy Wind', 'Ramble On Rose', 'Dear Mr. Fantasy', 'Hey Jude', 'Bird Song']","['Sugaree', 'St. Stephen', 'The Eleven', 'Iko Iko', 'Drums', 'Space', 'I Need a Miracle', 'Wharf Rat', 'Casey Jones']",[],['Black Muddy River']
05/30/2023,"PNC Music Pavilion, Charlotte, NC, USA","['Shakedown Street', 'Cold Rain and Snow', 'Loser', 'Dire Wolf', 'Loose Lucy', 'The Wheel', 'Bertha', 'Let It Grow']","['Help on the Way', 'Slipknot!', ""Franklin's Tower"", 'Fire on the Mountain', 'The Other One', 'Drums', 'Space', 'Black Peter', 'Sugar Magnolia', 'U.S. Blues']",[],[]
05/28/2023,"Cellairis Amphitheatre at Lakewood, Atlanta, GA, USA","['Cassidy', 'Deal', 'Samson and Delilah', 'Friend of the Devil', 'It Hurts Me Too', 'Tennessee Jed', 'If I Had the World to Give', 'Going Down the Road Feeling Bad']","['Althea', 'Estimated Prophet', 'China Cat Sunflower', 'I Know You Rider', 'Eyes of the World', 'Drums', 'Space', 'Terrapin Station', 'Morning Dew']",[],[]
05/26/2023,"Dos Equis Pavilion, Dallas, TX, USA","['Good Times', 'Hell in a Bucket', 'Big Railroad Blues', 'Lost Sailor', 'Saint of Circumstance', 'Ship of Fools', 'Brown-Eyed Women', 'The Music Never Stopped']","['Jack Straw', ""Truckin'"", ""He's Gone"", 'Playing in the Band', ""Uncle John's Band"", 'Drums', 'Space', 'All Along the Watchtower', 'Standing on the Moon', 'Not Fade Away']",[],['Touch of Grey']
05/23/2023,"Talking Stick Resort Amphitheatre, Phoenix, AZ, USA","['Feel Like a Stranger', 'Alabama Getaway', 'Ramble On Rose', 'Dear Mr. Fantasy', 'Hey Jude', 'Dark Star', 'Cumberland Blues', 'Casey Jones']","['Here Comes Sunshine', 'Scarlet Begonias', 'Viola Lee Blues', 'Spanish Jam', 'Fire on the Mountain', 'Drums', 'Space', 'I Need a Miracle', ""Death Don't Have No Mercy"", 'U.S. Blues']",[],['Ripple']
05/20/2023,"Kia Forum, Inglewood, CA, USA","['Bertha', ""Good Lovin'"", 'Brown-Eyed Women', 'Jack Straw', 'High Time', 'Mr. Charlie', 'Bird Song', ""Don't Ease Me In""]","['Althea', 'The Other One', 'Terrapin Station', 'Drums', 'Space', 'Stella Blue', 'Help on the Way', 'Slipknot!', ""Franklin's Tower""]",[],['Brokedown Palace']
05/19/2023,"Kia Forum, Inglewood, CA, USA","['Shakedown Street', 'Cold Rain and Snow', 'Mississippi Half-Step Uptown Toodeloo', 'They Love Each Other', 'St. Stephen', 'The Eleven', 'Deal']","['Sugaree', 'New Speedway Boogie', 'Eyes of the World', 'Estimated Prophet', 'Drums', 'Space', 'The Wheel', 'Wharf Rat', 'Sugar Magnolia']",[],['Black Muddy River']
